name,city,area,cuisines_clean,rating_clean,delivery_mins,minDeliveryTime,maxDeliveryTime,cost_two_clean,visibility_index
Cake Paradise,Bangalore,Jayanagar,Bakery,,56,56,56,400,
Darjeeling Hot Momos,Bangalore,Koramangala,Chinese,4.2,52,52,52,250,19.38350617
Krispy Kreme,Bangalore,Victoria Layout,"Desserts, Beverages",4.7,33,33,33,170,21.69106643
Sreeraj Lassi Bar,Bangalore,Shivaji Nagar,"Juices, Desserts",4.2,35,35,35,250,12.78699424
Brik Oven,Bangalore,Ashok Nagar,"Pizzas, Italian, Desserts, Beverages",4.5,35,35,35,1000,20.76804233
Ice Thunder - Balaji's Veg,Bangalore,Basavanagudi,"South, Indian, North, Indian, Chinese, Desserts, Fast, Food, Thalis",3.8,50,50,50,200,17.53745796
Tandoori Taal,Bangalore,Sampangi Rama Nagar,Indian,4.5,38,38,38,700,20.76804233
Esplanade,Bangalore,Indiranagar,"Mughlai, Bengali",4.3,54,54,54,1200,19.84501822
Cream Stone,Bangalore,Pulikeshi Nagar,"Ice, Cream, Desserts, Beverages",4.3,45,45,45,400,19.84501822
Cafe Coffee Day,Bangalore,Ashok Nagar,"Beverages, Snacks, Desserts",,38,38,38,300,
Paratha Envy,Bangalore,Central Bangalore,"North, Indian",4.4,48,48,48,400,20.30653027
Subbudus The SnackStop ( Eswaris Homemade snacks ),Bangalore,Indiranagar,"Sweets, Snacks, Indian",4.8,53,53,53,150,14.6137077
Nizam's Kitchens,Bangalore,Koramangala,"Biryani, Andhra, Hyderabadi, South, Indian, North, Indian, Tandoor, Beverages, Desserts",4.1,59,59,59,450,16.12048509
Punjab Express,Bangalore,Central Bangalore,"North, Indian",4.1,47,47,47,300,18.92199412
Mamagoto,Bangalore,Indiranagar,"Chinese, Asian, Pan-Asian, Thai, Oriental",4.2,59,59,59,900,19.38350617
Kota Kachori And Falahaar,Bangalore,Domlur,"Chaat, North, Indian, Snacks, Rajasthani, Sweets, Desserts, Beverages",4.1,50,50,50,15,28.3258946
Dice N Dine,Bangalore,Koramangala,"American, Asian, Chinese, Continental, Desserts, Italian, Jain, Mexican",4,57,57,57,500,24.8664244
Andhra Ruchulu,Bangalore,Jayanagar,"Andhra, Chettinad, Chinese, Desserts, North, Indian, Seafood",4.2,47,47,47,500,19.38350617
Sattvam,Bangalore,Armane Nagar,"Chinese, South, Indian, North, Indian, Continental, Desserts, Italian",4.2,52,52,52,1200,19.38350617
AL- BEK,Bangalore,Rajajinagar,"Mughlai, North, Indian",3.9,58,58,58,400,17.99897002
SWATHI RESTAURANT,Bangalore,Malleshwaram,Indian,4.3,52,52,52,300,13.09144648
SMOOR,Bangalore,Ashok Nagar,"Desserts, Asian, Beverages, Bakery, Italian, Continental, Pizzas, Italian-American",4.3,49,49,49,300,19.84501822
SRI RAJARAJESHWARI IYER MESS,Bangalore,Malleshwaram,"South, Indian",4.4,55,55,55,200,20.30653027
Rosy Roti,Bangalore,Domlur,"Home, Food, North, Indian, Punjabi, Snacks, Combo, Desserts",4.4,55,55,55,200,20.30653027
Sri Udupi Food Hub,Bangalore,Jayanagar - 3rd Block,"South, Indian, North, Indian, Indian, Chinese, Fast, Food, Combo, Chaat, Ice, Cream, Desserts, Beverages",4.3,47,47,47,199,26.73140623
Biryani Blues,Bangalore,Church Street,"Biryani, Kebabs, Lucknowi, Hyderabadi",4.2,38,38,38,400,16.51366766
Mainland China,Bangalore,Ashok Nagar,"Chinese, Oriental, Thai, Pan-Asian, Seafood, Asian, Desserts",4.3,40,40,40,850,19.84501822
Big Bowl Company,Bangalore,Koramangala,"North, Indian, Chinese, Biryani, Fast, Food",4.1,53,53,53,250,18.92199412
Sharief Bhai,Bangalore,Pulikeshi Nagar,"Biryani, North, Indian, Kebabs, Mughlai, Grill, Fast, Food, Beverages, Combo, Sweets, Desserts",4.1,48,48,48,400,28.3258946
Bhartiya Jalpan,Bangalore,Shivaji Nagar,"North, Indian, Fast, Food, Punjabi, Beverages, Desserts",4.3,40,40,40,270,26.73140623
Marwadi Chaat & Tiffin Services Shanti nagar,Bangalore,Shanti Nagar,"North, Indian",3.9,37,37,37,300,17.99897002
Kailash Parbat,Bangalore,Armane Nagar,"Fast, Food, North, Indian, Street, Food",4.2,53,53,53,300,26.10974562
Vidyarthi Bhavan,Bangalore,Gandhi Bazaar,"South, Indian",4.3,49,49,49,150,29.70764555
Raidan,Bangalore,R.T. Nagar,"Arabian, Chinese, Fast, Food, Beverages, Mughlai",3.9,57,57,57,400,17.99897002
Suchi Ruchi,Bangalore,Malleshwaram,"South, Indian, Chinese, Chaat, North, Indian, Fast, Food, Snacks",4,56,56,56,200,24.8664244
Saapaad,Bangalore,Frazer Town,"South, Indian, Biryani, Beverages",,54,54,54,400,
Anjappar,Bangalore,Ashok Nagar,"Chettinad, Thalis, Biryani, Chinese, Tandoor, South, Indian, North, Indian",4.1,37,37,37,400,18.92199412
FreshMenu,Bangalore,Richmond Town,"Chinese, Continental, Italian, Mediterranean, Thai, Lebanese, American, Asian, Beverages, Bakery, Biryani, Desserts, Mexican, North, Indian, Salads, Pizzas",4.1,38,38,38,250,28.3258946
Hyderabad Biryaani House,Bangalore,Victoria Layout,Indian,4.3,35,35,35,499,19.84501822
Richie Rich,Bangalore,Seshadripuram,"Desserts, Snacks, Chaat, Ice, Cream",4.4,36,36,36,500,27.35306684
Yumlane Pizza,Bangalore,Central Bangalore,"Pizzas, Beverages, Desserts, Snacks",3.9,45,45,45,300,17.99897002
Tandoor Hut,Bangalore,Koramangala,"Biryani, Chinese, North, Indian, South, Indian",4.4,59,59,59,300,20.30653027
Sagar Restaurant,Bangalore,Seshadripuram,"Chinese, South, Indian, North, Indian",4.3,54,54,54,500,19.84501822
